FSA,Number of Restaurants,Number of Minor Infractions,Number of Significant Infractions,Number of Crucial Infractions,Total COVID-19 Cases per 100 people,Total COVID-19 Hospitalizations per 1000 people,Total COVID-19 Deaths per 1000 people,Population,Percent With At Least 1 Dose,Percent With 2 Doses
M6G,303,334,277,20,2.74189584072972,2.5124941966846,0.71005270775869,32086,0.8215,0.7734
M6H,382,284,180,22,4.01411888400736,2.91014231534678,0.6383537982051,44950,0.8224,0.7781
M6J,385,305,203,10,3.10555758874889,1.96057928582632,0.20912845715481,32684,0.8181,0.7731
M6K,384,203,122,23,4.47274881516588,3.95649966147597,0.65589031821259,40957,0.7978,0.7619
M6L,55,23,12,3,8.89444097439101,8.70289402456798,2.24859462835728,20616,0.7653,0.7284
M6M,178,86,22,7,8.2248460995055,5.81289736603088,1.11010192754062,42434,0.744,0.7027
M6N,294,81,36,17,7.09549210333647,6.21273925321619,0.96224244325907,41243,0.7738,0.7323
M6P,256,164,72,12,2.77021177762294,2.21701399885982,0.52786047591901,40035,0.7959,0.7445
M6R,209,206,85,14,2.54598716236592,1.85241028733899,0.5169517080946,19857,0.8127,0.7546
M6S,152,96,44,3,2.76711980688604,2.13441748189557,0.6352432981832,34299,0.8027,0.7416
M8V,215,53,14,5,3.99234851289646,3.0852770578798,0.63762392529516,37975,0.7815,0.7434
M8W,128,17,7,0,3.85727297928795,2.97017939883569,0.67324066373609,20674,0.7667,0.7277
M8X,103,62,9,1,2.51293422025129,2.29941693356328,0.82122033341546,10787,0.8514,0.8081
M8Y,118,35,5,0,3.84906864504806,2.39320330262056,0.2792070519724,21299,0.7608,0.7141
M8Z,207,49,33,4,4.87584435353439,2.66387593949196,0.76110741128342,17038,0.8058,0.76
M9A,79,21,4,1,4.48745726804372,3.65929991814724,0.67408156386923,35594,0.7878,0.7521
M9B,108,48,11,1,4.23305095722909,2.79785497785031,0.5181212921945,32400,0.7888,0.7478
M9C,163,57,10,0,4.8211016431978,3.61639129353796,0.70067581312298,38291,0.7632,0.7289
M9L,59,14,4,0,9.65560954996831,7.04274948940066,1.83111486724417,11950,0.783,0.7442
M9M,141,68,23,5,10.2560480310789,5.43881334981459,1.23609394313968,22263,0.7748,0.7367
M9N,158,85,18,1,8.07058047493404,7.22295514511874,1.6820580474934,25074,0.7346,0.6903
M9P,56,21,9,2,6.2546941500459,4.33948093131937,1.50212801468747,20874,0.7483,0.7104
M9R,60,16,8,0,6.61418834597293,5.18383411730825,0.86397235288471,33743,0.7398,0.6988
M9V,243,102,39,4,9.40160779826738,6.31528894304353,1.06988424446855,55959,0.7685,0.727
M9W,389,233,39,5,7.86227326218399,5.21446252485493,0.87245871038429,40684,0.9231,0.8775
